Step,Validation Loss,Optimizer,Architecture,Attention Type,Weight Tying,Attention Sink
5.0,3.1398001313209534,LION,MoE,Full Context,Tied Weights,No Sink (Gated)
6.0,3.3122468829154967,LION,MoE,Full Context,Tied Weights,No Sink (Gated)
7.0,3.1849430799484253,LION,MoE,Full Context,Tied Weights,No Sink (Gated)
8.0,3.1322936415672302,LION,MoE,Full Context,Tied Weights,No Sink (Gated)
9.0,3.1913384079933165,LION,MoE,Full Context,Tied Weights,No Sink (Gated)
10.0,3.0257075548172,LION,MoE,Full Context,Tied Weights,No Sink (Gated)
11.0,2.945640230178833,LION,MoE,Full Context,Tied Weights,No Sink (Gated)
12.0,2.8810643315315247,LION,MoE,Full Context,Tied Weights,No Sink (Gated)
13.0,2.8431396007537844,LION,MoE,Full Context,Tied Weights,No Sink (Gated)
14.0,2.8160388588905336,LION,MoE,Full Context,Tied Weights,No Sink (Gated)
15.0,2.8048580408096315,LION,MoE,Full Context,Tied Weights,No Sink (Gated)
16.0,2.825572395324707,LION,MoE,Full Context,Tied Weights,No Sink (Gated)
17.0,2.8283424019813537,LION,MoE,Full Context,Tied Weights,No Sink (Gated)
18.0,2.8353264212608336,LION,MoE,Full Context,Tied Weights,No Sink (Gated)
19.0,2.8299372673034666,LION,MoE,Full Context,Tied Weights,No Sink (Gated)
20.0,2.809131348133087,LION,MoE,Full Context,Tied Weights,No Sink (Gated)
21.0,2.7938461661338807,LION,MoE,Full Context,Tied Weights,No Sink (Gated)
22.0,2.794079089164734,LION,MoE,Full Context,Tied Weights,No Sink (Gated)
23.0,2.7855131149291994,LION,MoE,Full Context,Tied Weights,No Sink (Gated)
0.0,4.957933759689331,ADAFACTOR,MoE,Full Context,Tied Weights,No Sink (Gated)
1.0,3.2013408064842226,ADAFACTOR,MoE,Full Context,Tied Weights,No Sink (Gated)
2.0,3.184433615207672,ADAFACTOR,MoE,Full Context,Tied Weights,No Sink (Gated)
3.0,3.0943459987640383,ADAFACTOR,MoE,Full Context,Tied Weights,No Sink (Gated)
4.0,3.0315728902816774,ADAFACTOR,MoE,Full Context,Tied Weights,No Sink (Gated)
5.0,2.860563373565674,ADAFACTOR,MoE,Full Context,Tied Weights,No Sink (Gated)
6.0,2.803421676158905,ADAFACTOR,MoE,Full Context,Tied Weights,No Sink (Gated)
0.0,4.984973645210266,LION,MoE,Full Context,Tied Weights,No Sink (Gated)
1.0,3.089371407032013,LION,MoE,Full Context,Tied Weights,No Sink (Gated)
2.0,3.0568990468978883,LION,MoE,Full Context,Tied Weights,No Sink (Gated)
3.0,3.0414918065071106,LION,MoE,Full Context,Tied Weights,No Sink (Gated)
0.0,4.857298111915588,LION,Dense,Sliding Window,Untied Weights,No Sink (Gated)
1.0,3.019683229923248,LION,Dense,Sliding Window,Untied Weights,No Sink (Gated)
2.0,3.0207962155342103,LION,Dense,Sliding Window,Untied Weights,No Sink (Gated)
3.0,2.9903040409088133,LION,Dense,Sliding Window,Untied Weights,No Sink (Gated)
4.0,2.9769623041152955,LION,Dense,Sliding Window,Untied Weights,No Sink (Gated)
0.0,4.982811164855957,LION,MoE,Full Context,Untied Weights,No Sink (Gated)
1.0,3.2355933666229246,LION,MoE,Full Context,Untied Weights,No Sink (Gated)
2.0,3.210047483444214,LION,MoE,Full Context,Untied Weights,No Sink (Gated)
3.0,3.189484441280365,LION,MoE,Full Context,Untied Weights,No Sink (Gated)
4.0,3.175067865848541,LION,MoE,Full Context,Untied Weights,No Sink (Gated)
5.0,3.162401580810547,LION,MoE,Full Context,Untied Weights,No Sink (Gated)
6.0,3.1516332149505617,LION,MoE,Full Context,Untied Weights,No Sink (Gated)
7.0,3.1385472416877747,LION,MoE,Full Context,Untied Weights,No Sink (Gated)
8.0,3.1252827286720275,LION,MoE,Full Context,Untied Weights,No Sink (Gated)
9.0,3.1181593894958497,LION,MoE,Full Context,Untied Weights,No Sink (Gated)
10.0,3.10861793756485,LION,MoE,Full Context,Untied Weights,No Sink (Gated)
11.0,3.106839966773987,LION,MoE,Full Context,Untied Weights,No Sink (Gated)
0.0,4.727574133872986,LION,Dense,Sliding Window,Tied Weights,No Sink (Gated)
1.0,2.9870323181152343,LION,Dense,Sliding Window,Tied Weights,No Sink (Gated)
2.0,2.974861764907837,LION,Dense,Sliding Window,Tied Weights,No Sink (Gated)
3.0,2.9717982053756713,LION,Dense,Sliding Window,Tied Weights,No Sink (Gated)
4.0,2.9714622616767885,LION,Dense,Sliding Window,Tied Weights,No Sink (Gated)
5.0,2.9653852343559266,LION,Dense,Sliding Window,Tied Weights,No Sink (Gated)
0.0,4.40194079875946,LION,Dense,Sliding Window,Untied Weights,Standard Attention
1.0,3.041854453086853,LION,Dense,Sliding Window,Untied Weights,Standard Attention
2.0,3.0790573716163636,LION,Dense,Sliding Window,Untied Weights,Standard Attention
