Architecture,VRAM (GB),Optimizer
MoE,0.3706176,LION
MoE,0.368883456,LION
MoE,0.373673728,LION
MoE,0.46758912,ADAFACTOR
MoE,0.485183744,ADAFACTOR
MoE,0.491067392,ADAFACTOR
MoE,0.48950656,ADAFACTOR
MoE,0.492425472,ADAFACTOR
MoE,0.49642496,ADAFACTOR
MoE,0.495142144,ADAFACTOR
MoE,0.531729152,LION
MoE,0.547472128,LION
MoE,0.55976448,LION
MoE,0.56091392,LION
MoE,0.560881408,LION
MoE,0.561418752,LION
MoE,0.561677824,LION
MoE,0.561500416,LION
MoE,0.5660992,LION
MoE,0.56809472,LION
MoE,0.561658112,LION
MoE,0.563079168,LION
MoE,0.566807552,LION
MoE,0.561780736,LION
MoE,0.339257344,LION
MoE,0.346008064,LION
MoE,0.351658752,LION
MoE,0.350218752,LION
MoE,0.348468992,LION
MoE,0.34742016,LION
MoE,0.348672512,LION
MoE,0.351442432,LION
MoE,0.35225472,LION
MoE,0.352420608,LION
MoE,0.352517376,LION
MoE,0.351216384,LION
MoE,0.35324928,LION
MoE,0.353803776,LION
Dense,0.205897216,LION
Dense,0.2116096,LION
Dense,0.217543168,LION
Dense,0.217805312,LION
Dense,0.219677952,LION
Dense,0.222514176,LION
Dense,0.222741504,LION
MoE,0.503177472,LION
MoE,0.521070336,LION
MoE,0.538466816,LION
MoE,0.541755648,LION
MoE,0.54287616,LION
MoE,0.541836544,LION
MoE,0.539546112,LION
MoE,0.541318656,LION
MoE,0.54140928,LION
MoE,0.539036928,LION
MoE,0.538861568,LION
MoE,0.537210112,LION
MoE,0.495560704,LION
MoE,0.505609984,LION
MoE,0.52527872,LION
MoE,0.5206144,LION
MoE,0.530774784,LION
MoE,0.54046336,LION
MoE,0.545238016,LION
MoE,0.54210944,LION
MoE,0.539844096,LION
MoE,0.549298944,LION
MoE,0.543407872,LION
MoE,0.542296576,LION
MoE,0.543185664,LION
MoE,0.537092864,LION
Dense,0.140168448,LION
Dense,0.143787776,LION
Dense,0.144737792,LION
Dense,0.1448,LION
Dense,0.148322048,LION
Dense,0.147202048,LION
Dense,0.115485952,LION
Dense,0.117726976,LION
Dense,0.121283328,LION
Dense,0.122103552,LION
Dense,0.120706304,LION
Dense,0.120750592,LION
Dense,0.1207296,LION
Dense,0.120109056,LION
Dense,0.121601536,LION
Dense,0.121572096,LION
MoE,0.508556544,LION
MoE,0.528618752,LION
MoE,0.537045248,LION
MoE,0.538369536,LION
MoE,0.911110656,LION
MoE,0.929840896,LION
MoE,0.93775872,LION
MoE,0.940686848,LION
MoE,0.937483776,LION
MoE,0.945067008,LION
MoE,0.950859264,LION
MoE,0.95234688,LION
MoE,0.962496256,LION
MoE,0.973198592,LION
MoE,0.963000064,LION
MoE,0.976431872,LION
MoE,0.354710528,LION
MoE,0.364176896,LION
MoE,0.367009024,LION
MoE,0.369160704,LION
MoE,0.373199616,LION
MoE,0.372484096,LION
MoE,0.37165056,LION
Dense,0.078620672,ADAFACTOR
Dense,0.085186048,ADAFACTOR
Dense,0.08821376,ADAFACTOR
Dense,0.087152128,ADAFACTOR
Dense,0.066074368,LION
Dense,0.070061312,LION
Dense,0.071515136,LION
Dense,0.071795456,LION
Dense,0.072330752,LION
Dense,0.073687808,LION
Dense,0.075647232,LION
Dense,0.074966528,LION
Dense,0.076740096,LION
Dense,0.076525312,LION
MoE,0.078537984,ADAFACTOR
MoE,0.079196416,ADAFACTOR
MoE,0.08075392,ADAFACTOR
MoE,0.08040576,ADAFACTOR
Dense,0.024532992,LION
Dense,0.02524928,LION
Dense,0.02645376,LION
Dense,0.027205888,LION
Dense,0.026801152,LION
Dense,0.026162944,LION
Dense,0.026907648,LION
Dense,0.06318976,LION
Dense,0.066184448,LION
Dense,0.06793728,LION
Dense,0.071696384,LION
Dense,0.069885696,LION
Dense,0.07298304,LION
Dense,0.073288192,LION
Dense,0.077685504,LION
Dense,0.07814912,LION
Dense,0.075488768,LION
Dense,0.075092992,LION
Dense,0.077860352,LION
MoE,0.165814784,LION
MoE,0.171855104,LION
MoE,0.17327872,LION
MoE,0.174208,LION
