alpha_balance,batch_size,context_window,dim,dropout_rate,epochs,expansion,grad_accum,kv_heads,lr,max_context,n_experts,no_sink,num_blocks,optimizer,pos_encoding,sliding_window,tokenizer_type,top_k_mlp,use_moe,use_swiglu,warmup_steps,weight_tying,val_loss,ms_per_step,vram_gb,effective_batch_size
0.016553641809059546,8,64.0,128,0.1056479656379614,24,4,4,4,0.0008485353202266694,512,2.0,False,6,adafactor,absolute,True,char,2.0,True,True,25,False,2.4387799382209776,105.76910495758057,0.041529856,32
0.05201539104123128,32,64.0,256,0.15,24,4,4,2,0.0006960468162768368,256,6.0,False,12,lion,rotary,True,char,2.0,True,True,50,False,1.8722161948680878,445.77653884887695,0.54709376,128
0.07663735898789537,16,128.0,384,0.0837529312717888,24,2,2,4,1.4616948478075469e-05,128,6.0,False,14,lion,absolute,True,bpe,4.0,True,False,22,True,7.035259866714478,461.705265045166,0.497615872,32
,8,96.0,768,0.1560588766047978,24,4,4,4,0.0005997710751788164,512,,False,16,adamw,absolute,True,bpe,,False,True,271,False,5.431085872650146,385.7299852371216,1.981428736,32
0.04553591176044638,16,,512,0.1,24,4,8,2,0.002382433173982811,512,4.0,True,16,lion,rotary,False,char,1.0,True,True,100,False,2.1472194671630858,844.2784023284912,1.840124416,128
,32,,512,0.15,24,4,8,4,0.00010017758385394434,256,,False,8,lion,rotary,False,char,,False,False,50,False,1.6884815216064453,181.26213550567627,0.232216832,256
0.24142891417202017,24,128.0,192,0.27060195247774743,24,6,2,1,0.01920985396981704,256,4.0,True,20,lion,rotary,True,char,3.0,True,True,192,True,3.3649357676506044,754.207501411438,0.5512128,48
0.02897618161331292,16,32.0,256,0.1,24,4,8,2,0.004260616745005234,256,6.0,True,8,lion,rotary,True,char,2.0,True,True,50,False,2.121297949552536,306.56012535095215,0.382436096,128
0.061819604351176935,64,,256,0.15,24,4,8,4,0.0006459745655280663,256,6.0,False,12,lion,rotary,False,char,2.0,True,False,50,True,2.092257487773895,619.6792268753052,0.348363264,512
,16,32.0,256,0.15,24,2,8,4,0.0015731651664888811,256,,False,16,adafactor,rotary,True,char,,False,True,100,True,1.6918677151203156,244.7205638885498,0.071722496,128
,8,128.0,128,0.1179959816944049,24,4,1,1,0.0008259890178333412,512,,False,4,lion,rotary,True,char,,False,False,5,True,1.7730575382709504,85.21124839782715,0.026445056,8
0.06987413810112443,64,,512,0.15,24,4,8,4,0.001748301389225692,256,6.0,True,12,adafactor,rotary,False,char,1.0,True,False,200,True,2.0699936747550964,1136.4377784729004,0.689200128,512
0.079064579744986,64,32.0,512,0.0,24,2,8,2,0.00014231948520219013,512,6.0,True,12,lion,rotary,True,char,2.0,True,False,50,False,1.8834780514240266,1315.4558944702148,0.747292672,512
,64,32.0,512,0.15,24,2,8,4,0.0006120774078592633,256,,True,8,lion,rotary,True,char,,False,True,100,False,1.814104676246643,296.51195526123047,0.198849792,512
0.06600862117094146,64,64.0,256,0.1,24,4,4,4,0.0038873152900503944,512,6.0,True,16,adafactor,absolute,True,bpe,1.0,True,False,100,False,6.46255407333374,2237.5806045532227,0.278292736,256
,64,,256,0.15,24,4,4,2,0.0005370826132243712,256,,True,8,lion,rotary,False,char,,False,True,200,False,1.7770134687423706,249.41885471343994,0.08931072,256
,64,,512,0.0,24,4,8,4,0.002656742312242529,256,,False,12,lion,rotary,False,char,,False,False,100,True,2.4868061542510986,520.3340101242065,0.315209216,512
,8,48.0,512,0.009492450544134933,24,2,8,2,0.004788476991041148,256,,True,10,adamw,rotary,True,bpe,,False,True,219,False,4.852541661262512,175.69714546203613,0.374724096,64
0.1029499239874622,48,192.0,256,0.08455447307676563,24,8,6,2,0.00015875932921689175,256,6.0,False,14,lion,rotary,True,char,3.0,True,True,283,True,1.8503711223602295,849.1676616668701,1.187254272,288
,32,,512,0.15,24,4,8,4,0.000214616175428952,512,,False,16,lion,absolute,False,char,,False,False,100,True,2.68770033121109,509.8549747467041,0.442587136,256
0.17665084969259187,16,32.0,768,0.21258710188574736,24,8,8,1,0.00025694681076439483,256,4.0,False,4,adafactor,rotary,True,char,2.0,True,False,23,False,2.355708110332489,300.2030563354492,0.748243712,128
,24,16.0,192,0.2353473955321056,24,8,4,2,8.98208387911597e-05,256,,False,10,lion,absolute,True,bpe,,False,True,26,False,6.34926323890686,199.44520950317383,0.11757824,96
,8,192.0,128,0.22755657357620615,24,2,4,1,2.5748938091826043e-05,192,,True,10,lion,rotary,True,bpe,,False,False,139,False,5.798954248428345,118.32443714141846,0.02273664,32
,64,32.0,512,0.1,24,4,8,2,0.000731428482965681,256,,True,12,adafactor,rotary,True,char,,False,True,50,True,1.9619071006774902,523.8415908813477,0.25384576,512
0.05004802669618055,64,32.0,512,0.13680388693417211,24,4,2,2,6.257634234809356e-05,128,16.0,True,10,lion,absolute,True,bpe,4.0,True,False,282,True,6.933967661857605,1218.6506462097168,2.811763712,128
0.033620103966954286,16,32.0,512,0.15,24,2,8,2,0.0023316862030946443,512,4.0,False,8,lion,rotary,True,char,2.0,True,True,50,True,2.2663936257362365,303.21074962615967,0.558823424,128
0.17096418595226232,16,32.0,768,0.20048868776111065,24,6,1,4,0.00023350104971250524,128,8.0,False,8,adafactor,rotary,True,bpe,3.0,True,True,129,False,6.688973426818848,657.9204511642456,3.08159232,16
0.01695467009004209,32,,512,0.1,24,4,2,4,0.0004929551694799693,512,6.0,False,16,lion,rotary,False,char,2.0,True,True,100,True,2.1241909503936767,1600.5291509628296,2.679873536,64
